id,title,genre_ids,overview,release_date,vote_average,vote_count,poster_path,original_language,cast,director
473936,My Baby Gone,None,"Emily, who is seven months pregnant, quickly becomes friends with her new neighbour, Kelly, who is also pregnant. They seem to have a lot in common and both look forward to the arrival of their new babies. Little does Emily know that Kelly has been faking her pregnancy in order to get close to Emily so she can steal her baby!",2017-09-04,6.3,22,/g8aqz6mAIcYbsiF4yXwAKpTI4UP.jpg,en,"['Elisabeth Harnois', 'Anna Van Hooft', 'Ryan S Williams']",Steve Bacic
1186121,GOMORRAH,None,A recovering addict relapses in the rough industrial estates of Glasgow.,2023-02-01,0.0,0,/5SoEfxrvhAR09UOPsttljoZ5IvX.jpg,en,"['Conor Berry', 'Sophie Sanders', 'Nyle Millan']",Aaron J McIntyre
10016,Ghosts of Mars,None,"In 2176, a Martian police unit is sent to pick up a highly dangerous criminal at a remote mining post. Upon arrival, the cops find the post deserted and something far more dangerous than any criminal — the original inhabitants of Mars, hellbent on getting their planet back.",2001-08-24,5.144,1152,/i2zztssCIbahGES1fdfWFmDXian.jpg,en,"['Natasha Henstridge', 'Ice Cube', 'Pam Grier']",John Carpenter
1548,Ghost World,None,"Two quirky, cynical teenaged girls try to figure out what to do with their lives after high school graduation. After they play a prank on an eccentric, middle aged record collector, one of them befriends him, which causes a rift in the girls’ friendship.",2001-07-20,7.077,1474,/uwKqnUPE4dSM0kKuMW0vXpURh2T.jpg,en,"['Thora Birch', 'Scarlett Johansson', 'Steve Buscemi']",Terry Zwigoff
270403,גט: המשפט של ויויאן אמסלם,None,"The trial story of Viviane Amsalem's five year fight to obtain her divorce in front of the only legal authority competent for divorce cases in Israel, the Rabbinical Court.",2014-06-25,7.556,134,/wu0FRMPgoY7BxuLpwApHZt6nWz9.jpg,he,"['Ronit Elkabetz', 'Simon Abkarian', 'Menashe Noy']",Shlomi Elkabetz
3131,Gangs of New York,None,"In early 1860s New York, Irish immigrant Amsterdam Vallon is released from prison and returns to the Five Points, seeking revenge against his father's killer, William Cutting, a powerful anti-immigrant gang leader. He knows that revenge can only be attained by infiltrating Cutting's inner circle. Vallon's journey becomes a fight for personal survival and to find a place for the Irish people.",2002-12-14,7.318,6813,/lemqKtcCuAano5aqrzxYiKC8kkn.jpg,en,"['Leonardo DiCaprio', 'Daniel Day-Lewis', 'Cameron Diaz']",Martin Scorsese
20829,Funny People,None,"Famous and wealthy funnyman George Simmons doesn't give much thought to how he treats people until a doctor delivers stunning health news, forcing George to reevaluate his priorities with a little help from aspiring stand-up comic Ira.",2009-07-30,5.896,1340,/gEYKD5cWCBGg8Za3hhwDBk3gEsP.jpg,en,"['Adam Sandler', 'Seth Rogen', 'Leslie Mann']",Judd Apatow
157354,Fruitvale Station,None,"Oakland, California. Young Afro-American Oscar Grant crosses paths with family members, friends, enemies and strangers before facing his fate on the platform at Fruitvale Station, in the early morning hours of New Year's Day 2009.",2013-07-26,7.361,1336,/oXSy3nEKFtfw5iRxdG8ouEFAnxs.jpg,en,"['Michael B. Jordan', 'Melonie Díaz', 'Octavia Spencer']",Ryan Coogler
109445,Frozen,None,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",2013-11-20,7.247,16961,/kgwjIb2JDHRhNk13lmSxiClFjVk.jpg,en,"['Idina Menzel', 'Kristen Bell', 'Jonathan Groff']",Jennifer Lee
23516,Frownland,None,"Keith is a disturbingly maladjusted social outcast and self-described “troll” whose neuroses plunge him into an unstoppable spiral of self-obliteration as his crummy coupon-selling job, pitiful living situation and last remaining human relationships disintegrate around him.",2008-03-07,6.075,20,/27sDPjqe0mOIwoSa0caTE0lZp66.jpg,en,"['Dore Mann', 'Paul Grimstad', 'David Sandholm']",Ronald Bronstein
558582,First Cow,None,"In the 1820s, a taciturn loner and skilled cook travels west to Oregon Territory, where he meets a Chinese immigrant also seeking his fortune. Soon the two team up on a dangerous scheme to steal milk from the wealthy landowner’s prized Jersey cow – the first, and only, in the territory.",2020-03-06,7.07,488,/yS41crZ1i0fFxCQbuL7I1Y1VBwm.jpg,en,"['John Magaro', 'Orion Lee', 'Toby Jones']",Kelly Reichardt
570,À ma sœur !,None,"Anaïs is twelve and bears the weight of the world on her shoulders. She watches her older sister, Elena, whom she both loves and hates. Elena is fifteen and devilishly beautiful. Neither more futile, nor more stupid than her younger sister, she cannot understand that she is merely an object of desire. And, as such, she can only be taken. Or had. Indeed, this is the subject: a girl's loss of virginity. And, that summer, it opens a door to tragedy.",2001-03-07,6.197,236,/afzbY1h7huuxlITigPfcyQSkqLs.jpg,fr,"['Anaïs Reboux', 'Roxane Mesquida', 'Libero De Rienzo']",Catherine Breillat
10315,Fantastic Mr. Fox,None,"The Fantastic Mr. Fox, bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",2009-10-14,7.8,5693,/njbTizADSZg4PqeyJdDzZGooikv.jpg,en,"['George Clooney', 'Meryl Streep', 'Jason Schwartzman']",Wes Anderson
34647,Enter the Void,None,"This psychedelic tour of life after death is seen entirely from the point of view of Oscar, a young American drug dealer and addict living in Tokyo with his prostitute sister, Linda. When Oscar is killed by police during a bust gone bad, his spirit journeys from the past -- where he sees his parents before their deaths -- to the present -- where he witnesses his own autopsy -- and then to the future, where he looks out for his sister from beyond the grave.",2010-05-05,7.3,1868,/li3Jrxo6s1gXX0zRhvgtbLfAwIl.jpg,en,"['Paz de la Huerta', 'Nathaniel Brown', 'Cyril Roy']",Gaspar Noé
974950,Emilia Pérez,None,"Rita, an underrated lawyer working for a large law firm more interested in getting criminals out of jail than bringing them to justice, is hired by the leader of a criminal organization.",2024-08-21,6.58,1733,/fko8fTfL6BcAqOUh6BZYUjt4SQP.jpg,fr,"['Zoe Saldaña', 'Karla Sofía Gascón', 'Selena Gomez']",Jacques Audiard
665135,Elephant,None,"Disneynature’s Elephant follows African elephant Shani and her spirited son Jomo as their herd make an epic journey hundreds of miles across the vast Kalahari Desert. Led by their great matriarch, Gaia, the family faces brutal heat, dwindling resources and persistent predators, as they follow in their ancestors’ footsteps on a quest to reach a lush, green paradise.",2020-03-14,7.7,99,/wvRbUiOuqedyDmwToErkp7wuFCv.jpg,en,"['Meghan, Duchess of Sussex']",Mark Linfield
489925,Eighth Grade,None,Thirteen-year-old Kayla endures the tidal wave of contemporary suburban adolescence as she makes her way through the last week of middle school — the end of her thus far disastrous eighth grade year — before she begins high school.,2018-01-19,7.164,1579,/xTa9cLhGHfQ7084UvoPQ2bBXKqd.jpg,en,"['Elsie Fisher', 'Josh Hamilton', 'Emily Robinson']",Bo Burnham
438631,Dune,None,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",2021-09-15,7.783,13743,/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,en,"['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac']",Denis Villeneuve
141,Donnie Darko,None,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",2001-01-19,7.8,12816,/fhQoQfejY1hUcwyuLgpBrYs6uFt.jpg,en,"['Jake Gyllenhaal', 'Jena Malone', 'James Duval']",Richard Kelly
391270,Domain,None,"At the end of World War 2, a German soldier finds a young Jewish girl hiding in an abandoned home. They both have serious choices to make about their future.",2012-11-12,0.0,0,,en,[],Jimmy F. Nabi
17654,District 9,None,"Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9.",2009-08-05,7.453,9819,/tuGlQkqLxnodDSk6mp5c2wvxUEd.jpg,en,"['Sharlto Copley', 'Jason Cope', 'Nathalie Boltt']",Neill Blomkamp
705996,헤어질 결심,None,"From a mountain peak in South Korea, a man plummets to his death. Did he jump, or was he pushed? When detective Hae-joon arrives on the scene, he begins to suspect the dead man’s wife Seo-rae. But as he digs deeper into the investigation, he finds himself trapped in a web of deception and desire.",2022-06-29,7.344,1307,/TDaXKGBqJUSbCQ9XjkrJs8GYuU.jpg,ko,"['Tang Wei', 'Park Hae-il', 'Lee Jung-hyun']",Park Chan-wook
