id,title,genre_ids,overview,release_date,vote_average,vote_count,poster_path,original_language,cast,director
539,Psycho,,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",1960-06-22,8.422,10433,/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg,en,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles']",Alfred Hitchcock
510,One Flew Over the Cuckoo's Nest,,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",1975-11-19,8.413,10852,/kjWsMh72V6d8KRLV4EOoSJLT1H7.jpg,en,"['Jack Nicholson', 'Brad Dourif', 'Louise Fletcher']",Miloš Forman
696374,Gabriel's Inferno,,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",2020-05-29,8.412,2427,/yXRoyYzIo17HfANn07oXYdyBy4h.jpg,en,"['Melanie Zanetti', 'Giulio Berruti', 'Kurt McKinney']",Tosca Musk
311,Once Upon a Time in America,,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",1984-05-23,8.412,5660,/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg,en,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern']",Sergio Leone
121,The Lord of the Rings: The Two Towers,,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",2002-12-18,8.408,22731,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,en,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']",Peter Jackson
324857,Spider-Man: Into the Spider-Verse,,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",2018-12-06,8.4,16265,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,en,"['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld']",Bob Persichetti
255709,소원,,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",2013-10-02,8.4,791,/x9yjkm9gIz5qI5fJMUTfBnWiB2o.jpg,ko,"['Sul Kyung-gu', 'Uhm Ji-won', 'Lee Re']",Lee Joon-ik
4935,ハウルの動く城,,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",2004-09-09,8.4,10401,/23hUJh7JdO23SpgUB5oiFDQk2wX.jpg,ja,"['Chieko Baisho', 'Takuya Kimura', 'Akihiro Miwa']",Hayao Miyazaki
1891,The Empire Strikes Back,,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",1980-05-20,8.396,17534,/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,en,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",Irvin Kershner
378064,映画 聲の形,,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",2016-09-17,8.4,4163,/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg,ja,"['Miyu Irino', 'Saori Hayami', 'Aoi Yuuki']",Naoko Yamada
704264,Primal: Tales of Savagery,,"Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.",2019-11-21,8.381,340,/9NBBkdxH0TjQEBSN2AzeE1sgsF9.jpg,en,"['Aaron LaPlante', 'Jon Olson', 'Bryan Andrews']",Genndy Tartakovsky
